"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","Immune_System_Processes","Inflammatory_Response","Immune_Response"
"GO:0006614","GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",76,0.628418542713706,2.38533541073731,1.44125471009174e-08,2.22970581620074e-06,1.72281251878148e-06,3519,"tags=77%, list=26%, signal=57%","ENSG00000233927/ENSG00000162244/ENSG00000158552/ENSG00000231500/ENSG00000125691/ENSG00000164587/ENSG00000167526/ENSG00000182899/ENSG00000197756/ENSG00000171858/ENSG00000174748/ENSG00000156482/ENSG00000142534/ENSG00000063177/ENSG00000083845/ENSG00000145592/ENSG00000134419/ENSG00000109475/ENSG00000105640/ENSG00000148303/ENSG00000137154/ENSG00000147604/ENSG00000112306/ENSG00000161016/ENSG00000182774/ENSG00000108107/ENSG00000136942/ENSG00000221983/ENSG00000110700/ENSG00000142937/ENSG00000198918/ENSG00000198242/ENSG00000114391/ENSG00000188846/ENSG00000166441/ENSG00000118181/ENSG00000008988/ENSG00000108298/ENSG00000149273/ENSG00000131469/ENSG00000171863/ENSG00000163682/ENSG00000122406/ENSG00000170889/ENSG00000145425/ENSG00000142541/ENSG00000142676/ENSG00000198755/ENSG00000105372/ENSG00000174444/ENSG00000130255/ENSG00000197958/ENSG00000122026/ENSG00000172809/ENSG00000089009/ENSG00000115268/ENSG00000105193/ENSG00000058262/ENSG00000168028/ENSG00000065308/ENSG00000137818","FALSE","FALSE","FALSE"
"GO:0007346","GO:0007346","GO:0007346","regulation of mitotic cell cycle",407,-0.499172500404682,-1.71962986233518,2.4378112419687e-08,3.46564517101496e-06,2.67777786777842e-06,2932,"tags=37%, list=22%, signal=30%","ENSG00000128908/ENSG00000165916/ENSG00000131931/ENSG00000277791/ENSG00000100462/ENSG00000159352/ENSG00000004897/ENSG00000154611/ENSG00000198176/ENSG00000047410/ENSG00000148411/ENSG00000198355/ENSG00000101412/ENSG00000141510/ENSG00000175216/ENSG00000205629/ENSG00000222028/ENSG00000047410/ENSG00000198791/ENSG00000164695/ENSG00000115738/ENSG00000101004/ENSG00000170027/ENSG00000161057/ENSG00000179271/ENSG00000153107/ENSG00000148019/ENSG00000108344/ENSG00000086827/ENSG00000008018/ENSG00000108465/ENSG00000154767/ENSG00000096717/ENSG00000084073/ENSG00000005249/ENSG00000181817/ENSG00000100519/ENSG00000110200/ENSG00000136811/ENSG00000213024/ENSG00000172613/ENSG00000140534/ENSG00000108671/ENSG00000172113/ENSG00000100902/ENSG00000175166/ENSG00000089053/ENSG00000131462/ENSG00000183765/ENSG00000204569/ENSG00000126067/ENSG00000167552/ENSG00000137337/ENSG00000072864/ENSG00000275700/ENSG00000020922/ENSG00000088986/ENSG00000126457/ENSG00000041357/ENSG00000179051/ENSG00000135679/ENSG00000136930/ENSG00000100567/ENSG00000099341/ENSG00000128789/ENSG00000164754/ENSG00000196230/ENSG00000144580/ENSG00000168411/ENSG00000109132/ENSG00000143106/ENSG00000167244/ENSG00000103035/ENSG00000198783/ENSG00000106462/ENSG00000118655/ENSG00000154473/ENSG00000100823/ENSG00000176248/ENSG00000185627/ENSG00000131467/ENSG00000115233/ENSG00000149311/ENSG00000188229/ENSG00000103540/ENSG00000124006/ENSG00000106399/ENSG00000087191/ENSG00000151247/ENSG00000013275/ENSG00000116717/ENSG00000053900/ENSG00000097046/ENSG00000072864/ENSG00000047188/ENSG00000138035/ENSG00000127564/ENSG00000173692/ENSG00000213397/ENSG00000198797/ENSG00000074054/ENSG00000147874/ENSG00000154229/ENSG00000092853/ENSG00000214367/ENSG00000188229/ENSG00000163781/ENSG00000103056/ENSG00000136811/ENSG00000188229/ENSG00000141577/ENSG00000151849/ENSG00000178295/ENSG00000138411/ENSG00000075218/ENSG00000095002/ENSG00000146670/ENSG00000154920/ENSG00000117748/ENSG00000288000/ENSG00000147316/ENSG00000164109/ENSG00000159147/ENSG00000173207/ENSG00000132646/ENSG00000124688/ENSG00000198835/ENSG00000131351/ENSG00000103995/ENSG00000112029/ENSG00000040275/ENSG00000126001/ENSG00000138182/ENSG00000178999/ENSG00000168309/ENSG00000078725/ENSG00000137090/ENSG00000166483/ENSG00000165891/ENSG00000129173/ENSG00000072571/ENSG00000129355/ENSG00000138182/ENSG00000175063/ENSG00000136122/ENSG00000118193/ENSG00000088325/ENSG00000174442/ENSG00000148773/ENSG00000147082/ENSG00000087586/ENSG00000152240/ENSG00000011426/ENSG00000170312/ENSG00000128789/ENSG00000143476/ENSG00000117724/ENSG00000126787/ENSG00000112742/ENSG00000138778/ENSG00000169679/ENSG00000161692/ENSG00000117650/ENSG00000166851/ENSG00000134057/ENSG00000142731/ENSG00000146648/ENSG00000156509/ENSG00000080986/ENSG00000140015/ENSG00000017427/ENSG00000138798/ENSG00000136235","FALSE","FALSE","FALSE"
"GO:0050853","GO:0050853","GO:0050853","B cell receptor signaling pathway",38,0.755355983453007,2.51029636040871,3.11985808088976e-08,4.24787978199273e-06,3.28218207690093e-06,1260,"tags=36%, list=9%, signal=32%","ENSG00000012124/ENSG00000211899/ENSG00000196092/ENSG00000105369/ENSG00000159216/ENSG00000081189/ENSG00000010671/ENSG00000131378/ENSG00000166501/ENSG00000165025/ENSG00000131378/ENSG00000196950/ENSG00000166501/ENSG00000110651/ENSG00000160999/ENSG00000110651","TRUE","FALSE","TRUE"
"GO:0006954","GO:0006954","GO:0006954","inflammatory response",364,0.381906067010681,1.7438325654676,3.1956232687713e-08,4.24787978199273e-06,3.28218207690093e-06,2310,"tags=28%, list=17%, signal=24%","ENSG00000196664/ENSG00000143954/ENSG00000137801/ENSG00000007908/ENSG00000141655/ENSG00000150455/ENSG00000132703/ENSG00000174600/ENSG00000095303/ENSG00000166428/ENSG00000123146/ENSG00000134830/ENSG00000100292/ENSG00000162692/ENSG00000175040/ENSG00000174004/ENSG00000147573/ENSG00000128271/ENSG00000101336/ENSG00000170345/ENSG00000134954/ENSG00000177628/ENSG00000182578/ENSG00000114378/ENSG00000140368/ENSG00000010671/ENSG00000136160/ENSG00000148400/ENSG00000174738/ENSG00000137509/ENSG00000138623/ENSG00000188906/ENSG00000109861/ENSG00000092531/ENSG00000165025/ENSG00000184557/ENSG00000118432/ENSG00000015413/ENSG00000139610/ENSG00000100968/ENSG00000186642/ENSG00000103175/ENSG00000174130/ENSG00000110719/ENSG00000171522/ENSG00000121966/ENSG00000096968/ENSG00000186792/ENSG00000168398/ENSG00000165168/ENSG00000167207/ENSG00000167601/ENSG00000108405/ENSG00000019991/ENSG00000124212/ENSG00000086102/ENSG00000186810/ENSG00000198959/ENSG00000151651/ENSG00000189058/ENSG00000204472/ENSG00000068024/ENSG00000048052/ENSG00000160255/ENSG00000138623/ENSG00000110651/ENSG00000161031/ENSG00000184599/ENSG00000132510/ENSG00000182578/ENSG00000172216/ENSG00000101916/ENSG00000110651/ENSG00000114520/ENSG00000169129/ENSG00000184163/ENSG00000157404/ENSG00000153162/ENSG00000164251/ENSG00000185187/ENSG00000107798/ENSG00000006638/ENSG00000067182/ENSG00000134198/ENSG00000166949/ENSG00000173757/ENSG00000173578/ENSG00000115607/ENSG00000213906/ENSG00000104312/ENSG00000168214/ENSG00000196639/ENSG00000025434/ENSG00000126368/ENSG00000068001/ENSG00000128604/ENSG00000125538/ENSG00000160703/ENSG00000116044/ENSG00000135046/ENSG00000155111/ENSG00000148400/ENSG00000143369/ENSG00000065675/ENSG00000050628/ENSG00000132510/ENSG00000126353/ENSG00000131507/ENSG00000079257/ENSG00000160013/ENSG00000163874/ENSG00000113916/ENSG00000101966/ENSG00000136826/ENSG00000163874/ENSG00000167604/ENSG00000173039/ENSG00000158769/ENSG00000025800/ENSG00000116288/ENSG00000133475/ENSG00000166949/ENSG00000175445/ENSG00000118503/ENSG00000160951/ENSG00000172232/ENSG00000139610","FALSE","FALSE","FALSE"
"GO:0002366","GO:0002366","GO:0002366","leukocyte activation involved in immune response",431,0.35944538611162,1.67244215688078,3.66441056899493e-08,4.58923799831269e-06,3.54593714458381e-06,2300,"tags=28%, list=17%, signal=24%","ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000133789/ENSG00000127951/ENSG00000077420/ENSG00000103196/ENSG00000123146/ENSG00000008513/ENSG00000261371/ENSG00000100292/ENSG00000140678/ENSG00000143119/ENSG00000169508/ENSG00000101160/ENSG00000148346/ENSG00000148346/ENSG00000244734/ENSG00000064601/ENSG00000119919/ENSG00000110934/ENSG00000163191/ENSG00000170266/ENSG00000196415/ENSG00000010671/ENSG00000101425/ENSG00000137509/ENSG00000001036/ENSG00000185475/ENSG00000109861/ENSG00000198805/ENSG00000092531/ENSG00000106003/ENSG00000165025/ENSG00000104763/ENSG00000241839/ENSG00000177105/ENSG00000051620/ENSG00000049860/ENSG00000158825/ENSG00000109323/ENSG00000038002/ENSG00000023697/ENSG00000102393/ENSG00000110719/ENSG00000171522/ENSG00000164713/ENSG00000130038/ENSG00000000938/ENSG00000033327/ENSG00000196743/ENSG00000197746/ENSG00000137265/ENSG00000085719/ENSG00000128340/ENSG00000165168/ENSG00000033627/ENSG00000072274/ENSG00000139370/ENSG00000108405/ENSG00000056586/ENSG00000141012/ENSG00000135905/ENSG00000125810/ENSG00000164733/ENSG00000103544/ENSG00000151651/ENSG00000197081/ENSG00000185896/ENSG00000204386/ENSG00000160255/ENSG00000100299/ENSG00000110651/ENSG00000119919/ENSG00000093072/ENSG00000134516/ENSG00000161031/ENSG00000196415/ENSG00000143162/ENSG00000127329/ENSG00000105514/ENSG00000110442/ENSG00000110651/ENSG00000114520/ENSG00000100554/ENSG00000157404/ENSG00000100060/ENSG00000255587/ENSG00000198805/ENSG00000138246/ENSG00000180448/ENSG00000164251/ENSG00000133789/ENSG00000172057/ENSG00000165240/ENSG00000197548/ENSG00000115828/ENSG00000080824/ENSG00000130038/ENSG00000165102/ENSG00000204386/ENSG00000100284/ENSG00000179348/ENSG00000005893/ENSG00000183020/ENSG00000104312/ENSG00000160796/ENSG00000166825/ENSG00000139725/ENSG00000183020/ENSG00000171132/ENSG00000148444/ENSG00000156127/ENSG00000135046/ENSG00000101152/ENSG00000166825/ENSG00000100097/ENSG00000163131/ENSG00000144589/ENSG00000136630/ENSG00000163754/ENSG00000131507/ENSG00000108828/ENSG00000156508/ENSG00000119655/ENSG00000136167/ENSG00000261371/ENSG00000106348/ENSG00000163874/ENSG00000113916/ENSG00000197943/ENSG00000099940/ENSG00000110395/ENSG00000163874/ENSG00000167604/ENSG00000130755/ENSG00000069424/ENSG00000181467/ENSG00000121053/ENSG00000120868/ENSG00000101425/ENSG00000109270/ENSG00000077420/ENSG00000172232/ENSG00000166825","TRUE","FALSE","TRUE"
"GO:0071824","GO:0071824","GO:0071824","protein-DNA complex subunit organization",157,-0.596881753944426,-1.94075462172734,4.17712667171593e-08,4.99356506664223e-06,3.85834595203235e-06,3005,"tags=43%, list=23%, signal=34%","ENSG00000105447/ENSG00000120334/ENSG00000128908/ENSG00000165916/ENSG00000143401/ENSG00000141510/ENSG00000204256/ENSG00000181163/ENSG00000161057/ENSG00000166508/ENSG00000132475/ENSG00000185024/ENSG00000154767/ENSG00000151725/ENSG00000125398/ENSG00000066117/ENSG00000100519/ENSG00000145736/ENSG00000189308/ENSG00000185024/ENSG00000189060/ENSG00000147601/ENSG00000099284/ENSG00000117505/ENSG00000136936/ENSG00000175792/ENSG00000178028/ENSG00000143799/ENSG00000075856/ENSG00000189403/ENSG00000135336/ENSG00000187475/ENSG00000106399/ENSG00000087191/ENSG00000013275/ENSG00000187475/ENSG00000127616/ENSG00000162521/ENSG00000119335/ENSG00000127616/ENSG00000187475/ENSG00000187475/ENSG00000178460/ENSG00000187475/ENSG00000118900/ENSG00000125398/ENSG00000100297/ENSG00000112118/ENSG00000105011/ENSG00000164104/ENSG00000112312/ENSG00000117748/ENSG00000188486/ENSG00000051180/ENSG00000188312/ENSG00000104738/ENSG00000197837/ENSG00000196497/ENSG00000076003/ENSG00000129534/ENSG00000167670/ENSG00000132383/ENSG00000102384/ENSG00000073111/ENSG00000119969/ENSG00000132780/ENSG00000101812/ENSG00000166451/ENSG00000167842/ENSG00000159055/ENSG00000102901/ENSG00000183598/ENSG00000188486/ENSG00000100162/ENSG00000159259/ENSG00000117724/ENSG00000126787/ENSG00000138778/ENSG00000123219","FALSE","FALSE","FALSE"
"GO:1901987","GO:1901987","GO:1901987","regulation of cell cycle phase transition",322,-0.514378948166205,-1.75900610457982,5.39283023612524e-08,6.30361934267084e-06,4.87057720273206e-06,2932,"tags=39%, list=22%, signal=31%","ENSG00000128908/ENSG00000165916/ENSG00000277791/ENSG00000159352/ENSG00000004897/ENSG00000154611/ENSG00000198176/ENSG00000047410/ENSG00000148411/ENSG00000101412/ENSG00000141510/ENSG00000175216/ENSG00000205629/ENSG00000222028/ENSG00000047410/ENSG00000198791/ENSG00000164695/ENSG00000115738/ENSG00000101004/ENSG00000181163/ENSG00000170027/ENSG00000161057/ENSG00000153107/ENSG00000148019/ENSG00000108344/ENSG00000086827/ENSG00000008018/ENSG00000108465/ENSG00000154767/ENSG00000005249/ENSG00000181817/ENSG00000100519/ENSG00000110200/ENSG00000176907/ENSG00000136811/ENSG00000140534/ENSG00000108671/ENSG00000100902/ENSG00000175166/ENSG00000089053/ENSG00000131462/ENSG00000183765/ENSG00000126067/ENSG00000167552/ENSG00000087206/ENSG00000176208/ENSG00000058668/ENSG00000072864/ENSG00000020922/ENSG00000088986/ENSG00000126457/ENSG00000041357/ENSG00000179051/ENSG00000135679/ENSG00000136930/ENSG00000100567/ENSG00000099341/ENSG00000128789/ENSG00000164754/ENSG00000196230/ENSG00000144580/ENSG00000168411/ENSG00000109132/ENSG00000143106/ENSG00000103035/ENSG00000198783/ENSG00000106462/ENSG00000154473/ENSG00000100823/ENSG00000176248/ENSG00000185627/ENSG00000131467/ENSG00000006634/ENSG00000115233/ENSG00000149311/ENSG00000188229/ENSG00000103540/ENSG00000087191/ENSG00000013275/ENSG00000116717/ENSG00000053900/ENSG00000097046/ENSG00000072864/ENSG00000173692/ENSG00000213397/ENSG00000074054/ENSG00000147874/ENSG00000181085/ENSG00000092853/ENSG00000214367/ENSG00000188229/ENSG00000163781/ENSG00000136811/ENSG00000188229/ENSG00000141577/ENSG00000151849/ENSG00000173769/ENSG00000178295/ENSG00000138411/ENSG00000075218/ENSG00000146670/ENSG00000117748/ENSG00000164109/ENSG00000159147/ENSG00000132646/ENSG00000124688/ENSG00000198835/ENSG00000131351/ENSG00000103995/ENSG00000112029/ENSG00000040275/ENSG00000126001/ENSG00000178999/ENSG00000168309/ENSG00000166483/ENSG00000165891/ENSG00000129173/ENSG00000072571/ENSG00000129355/ENSG00000175063/ENSG00000118193/ENSG00000088325/ENSG00000147082/ENSG00000087586/ENSG00000152240/ENSG00000011426/ENSG00000170312/ENSG00000128789/ENSG00000143476/ENSG00000117724/ENSG00000126787/ENSG00000112742/ENSG00000138778/ENSG00000169679/ENSG00000161692/ENSG00000117650/ENSG00000166851/ENSG00000134057/ENSG00000142731/ENSG00000146648/ENSG00000080986/ENSG00000140015/ENSG00000136235","FALSE","FALSE","FALSE"
"GO:0040013","GO:0040013","GO:0040013","negative regulation of locomotion",212,0.450823093293592,2.0218768689033,5.53142879918284e-08,6.32506858341342e-06,4.887150250262e-06,1892,"tags=27%, list=14%, signal=24%","ENSG00000137801/ENSG00000112175/ENSG00000175471/ENSG00000162552/ENSG00000163686/ENSG00000123612/ENSG00000196090/ENSG00000146674/ENSG00000134830/ENSG00000100292/ENSG00000128271/ENSG00000122592/ENSG00000106991/ENSG00000099250/ENSG00000101280/ENSG00000081189/ENSG00000164938/ENSG00000164690/ENSG00000175471/ENSG00000148400/ENSG00000138623/ENSG00000116717/ENSG00000128917/ENSG00000075213/ENSG00000145147/ENSG00000015413/ENSG00000107562/ENSG00000166923/ENSG00000276644/ENSG00000139567/ENSG00000108187/ENSG00000182054/ENSG00000139146/ENSG00000171522/ENSG00000185532/ENSG00000166923/ENSG00000173334/ENSG00000153993/ENSG00000187391/ENSG00000185033/ENSG00000168675/ENSG00000100065/ENSG00000125249/ENSG00000189058/ENSG00000204472/ENSG00000153233/ENSG00000138623/ENSG00000118689/ENSG00000082684/ENSG00000184113/ENSG00000109062/ENSG00000095539/ENSG00000103034/ENSG00000089820/ENSG00000089820/ENSG00000168758/ENSG00000123384/ENSG00000129244/ENSG00000173269/ENSG00000091879/ENSG00000006638/ENSG00000197381/ENSG00000164741/ENSG00000138061/ENSG00000196369/ENSG00000120129/ENSG00000196220/ENSG00000107562/ENSG00000068001/ENSG00000116044/ENSG00000166780/ENSG00000271447/ENSG00000148400/ENSG00000108187/ENSG00000196104","FALSE","FALSE","FALSE"
"GO:0010942","GO:0010942","GO:0010942","positive regulation of cell death",410,0.358115233429788,1.66690412121112,9.40523590639672e-08,9.53253315514124e-06,7.3654413672204e-06,2970,"tags=32%, list=22%, signal=26%","ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000137801/ENSG00000100234/ENSG00000123612/ENSG00000142871/ENSG00000113721/ENSG00000166289/ENSG00000146674/ENSG00000115232/ENSG00000100292/ENSG00000172059/ENSG00000170345/ENSG00000133874/ENSG00000081189/ENSG00000131188/ENSG00000244734/ENSG00000173372/ENSG00000124762/ENSG00000136717/ENSG00000168209/ENSG00000164938/ENSG00000198121/ENSG00000141968/ENSG00000150907/ENSG00000148400/ENSG00000116717/ENSG00000172059/ENSG00000168918/ENSG00000188906/ENSG00000109861/ENSG00000145147/ENSG00000176720/ENSG00000125266/ENSG00000165025/ENSG00000175197/ENSG00000118432/ENSG00000051620/ENSG00000100968/ENSG00000099860/ENSG00000186318/ENSG00000134243/ENSG00000166311/ENSG00000174130/ENSG00000177425/ENSG00000133639/ENSG00000131389/ENSG00000172819/ENSG00000096968/ENSG00000196139/ENSG00000139289/ENSG00000104880/ENSG00000265972/ENSG00000124212/ENSG00000198959/ENSG00000136603/ENSG00000151651/ENSG00000197081/ENSG00000196139/ENSG00000068024/ENSG00000160255/ENSG00000118689/ENSG00000124126/ENSG00000162772/ENSG00000109062/ENSG00000131389/ENSG00000130558/ENSG00000127191/ENSG00000143384/ENSG00000117318/ENSG00000164251/ENSG00000123384/ENSG00000144746/ENSG00000197548/ENSG00000067182/ENSG00000165731/ENSG00000164741/ENSG00000138061/ENSG00000120129/ENSG00000107954/ENSG00000104312/ENSG00000134259/ENSG00000122679/ENSG00000196914/ENSG00000068001/ENSG00000213949/ENSG00000128604/ENSG00000138613/ENSG00000126217/ENSG00000130222/ENSG00000035681/ENSG00000114790/ENSG00000164120/ENSG00000135046/ENSG00000106305/ENSG00000079805/ENSG00000155111/ENSG00000148400/ENSG00000150457/ENSG00000273079/ENSG00000090447/ENSG00000204977/ENSG00000136717/ENSG00000101955/ENSG00000163874/ENSG00000113916/ENSG00000105974/ENSG00000163874/ENSG00000127084/ENSG00000150907/ENSG00000105270/ENSG00000125826/ENSG00000120868/ENSG00000116288/ENSG00000110237/ENSG00000135250/ENSG00000064300/ENSG00000101977/ENSG00000158092/ENSG00000177119/ENSG00000065559/ENSG00000077264/ENSG00000137154/ENSG00000117009/ENSG00000105928/ENSG00000105928/ENSG00000134215/ENSG00000079805/ENSG00000221983/ENSG00000171791/ENSG00000131016/ENSG00000076928/ENSG00000051382/ENSG00000169372/ENSG00000107643/ENSG00000106004/ENSG00000007047/ENSG00000174744/ENSG00000249861/ENSG00000163947/ENSG00000149273/ENSG00000171680/ENSG00000071051/ENSG00000135916/ENSG00000171863/ENSG00000135916/ENSG00000170890/ENSG00000177606/ENSG00000159842/ENSG00000142676/ENSG00000151651/ENSG00000128272/ENSG00000177076/ENSG00000152409/ENSG00000030582/ENSG00000204628/ENSG00000284357/ENSG00000125266/ENSG00000101977/ENSG00000120868/ENSG00000116584/ENSG00000091409","FALSE","FALSE","FALSE"
"GO:0003341","GO:0003341","GO:0003341","cilium movement",79,-0.670832694944423,-2.03356468423855,9.42379703550085e-08,9.53253315514124e-06,7.3654413672204e-06,1706,"tags=52%, list=13%, signal=45%","ENSG00000132681/ENSG00000179636/ENSG00000140463/ENSG00000118690/ENSG00000122735/ENSG00000168556/ENSG00000100346/ENSG00000125863/ENSG00000198003/ENSG00000155761/ENSG00000154429/ENSG00000160401/ENSG00000284862/ENSG00000166171/ENSG00000165115/ENSG00000272514/ENSG00000151023/ENSG00000162643/ENSG00000141013/ENSG00000141577/ENSG00000181378/ENSG00000039139/ENSG00000165506/ENSG00000183833/ENSG00000105479/ENSG00000141519/ENSG00000159079/ENSG00000122735/ENSG00000156042/ENSG00000179532/ENSG00000154099/ENSG00000158023/ENSG00000146221/ENSG00000080572/ENSG00000172426/ENSG00000112981/ENSG00000084674/ENSG00000141013/ENSG00000131044/ENSG00000152670/ENSG00000167858/ENSG00000100078/ENSG00000256061/ENSG00000144451/ENSG00000084674/ENSG00000152670/ENSG00000152763/ENSG00000132681/ENSG00000158023","FALSE","FALSE","FALSE"
"GO:0048514","GO:0048514","GO:0048514","blood vessel morphogenesis",403,0.363156364428793,1.6896590030377,1.33739065503959e-07,1.27903179009241e-05,9.88261305092411e-06,1815,"tags=22%, list=14%, signal=20%","ENSG00000137801/ENSG00000161381/ENSG00000136859/ENSG00000162367/ENSG00000162552/ENSG00000183287/ENSG00000171812/ENSG00000151617/ENSG00000142871/ENSG00000113721/ENSG00000037280/ENSG00000159216/ENSG00000154734/ENSG00000100292/ENSG00000119630/ENSG00000140678/ENSG00000179388/ENSG00000122592/ENSG00000106991/ENSG00000099250/ENSG00000154928/ENSG00000183072/ENSG00000118526/ENSG00000184937/ENSG00000101280/ENSG00000122786/ENSG00000164736/ENSG00000134954/ENSG00000091129/ENSG00000066336/ENSG00000135821/ENSG00000182963/ENSG00000105997/ENSG00000114378/ENSG00000164690/ENSG00000148400/ENSG00000137509/ENSG00000116717/ENSG00000128917/ENSG00000106688/ENSG00000145147/ENSG00000125266/ENSG00000265107/ENSG00000166501/ENSG00000165025/ENSG00000128165/ENSG00000154764/ENSG00000260001/ENSG00000187498/ENSG00000139610/ENSG00000164683/ENSG00000166923/ENSG00000100968/ENSG00000139567/ENSG00000138639/ENSG00000133639/ENSG00000066336/ENSG00000076706/ENSG00000121966/ENSG00000166923/ENSG00000130066/ENSG00000164683/ENSG00000165168/ENSG00000019991/ENSG00000079337/ENSG00000265107/ENSG00000124212/ENSG00000100065/ENSG00000186810/ENSG00000184481/ENSG00000166501/ENSG00000151651/ENSG00000189058/ENSG00000167772/ENSG00000048052/ENSG00000070193/ENSG00000114019/ENSG00000160255/ENSG00000174059/ENSG00000123358/ENSG00000108175/ENSG00000148848/ENSG00000184113/ENSG00000127329/ENSG00000121068/ENSG00000172889/ENSG00000163513/ENSG00000178878/ENSG00000137868/ENSG00000153904/ENSG00000157227/ENSG00000111145/ENSG00000123384/ENSG00000173269/ENSG00000128805/ENSG00000173821/ENSG00000091879/ENSG00000006638/ENSG00000197461/ENSG00000114315/ENSG00000174804/ENSG00000138061/ENSG00000105538/ENSG00000132669/ENSG00000128052/ENSG00000179348/ENSG00000168214/ENSG00000166825/ENSG00000122679/ENSG00000106025/ENSG00000124440/ENSG00000125538/ENSG00000118257/ENSG00000116044/ENSG00000164120/ENSG00000135046","FALSE","FALSE","FALSE"
"GO:0008217","GO:0008217","GO:0008217","regulation of blood pressure",103,0.548554296774998,2.20819946701365,2.20018323488741e-07,1.96151929076403e-05,1.51559455305982e-05,1611,"tags=30%, list=12%, signal=26%","ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000274286/ENSG00000151617/ENSG00000095303/ENSG00000100292/ENSG00000113389/ENSG00000177674/ENSG00000121064/ENSG00000102032/ENSG00000101160/ENSG00000244734/ENSG00000127129/ENSG00000170214/ENSG00000136160/ENSG00000137509/ENSG00000183087/ENSG00000103647/ENSG00000265107/ENSG00000128165/ENSG00000118432/ENSG00000139567/ENSG00000120907/ENSG00000186115/ENSG00000108405/ENSG00000265107/ENSG00000169836/ENSG00000174059/ENSG00000176387/ENSG00000153904/ENSG00000164251/ENSG00000070961/ENSG00000100311/ENSG00000006638/ENSG00000145244/ENSG00000166949/ENSG00000127129/ENSG00000169252","FALSE","FALSE","FALSE"
"GO:0007088","GO:0007088","GO:0007088","regulation of mitotic nuclear division",78,-0.670095630862475,-2.0279862866029,2.31778354466775e-07,2.03192357415873e-05,1.56999337999337e-05,1829,"tags=39%, list=14%, signal=34%","ENSG00000128789/ENSG00000164754/ENSG00000167244/ENSG00000154473/ENSG00000149311/ENSG00000124006/ENSG00000053900/ENSG00000127564/ENSG00000103056/ENSG00000178295/ENSG00000288000/ENSG00000164109/ENSG00000124688/ENSG00000112029/ENSG00000040275/ENSG00000138182/ENSG00000178999/ENSG00000137090/ENSG00000138182/ENSG00000136122/ENSG00000148773/ENSG00000087586/ENSG00000128789/ENSG00000117724/ENSG00000126787/ENSG00000112742/ENSG00000169679/ENSG00000117650/ENSG00000166851/ENSG00000134057/ENSG00000156509/ENSG00000080986/ENSG00000017427/ENSG00000138798","FALSE","FALSE","FALSE"
"GO:0042060","GO:0042060","GO:0042060","wound healing",340,0.376187627198635,1.6913327331636,2.40283408189827e-07,2.07195201160408e-05,1.60092189649857e-05,1147,"tags=17%, list=9%, signal=16%","ENSG00000244734/ENSG00000143954/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000213931/ENSG00000213931/ENSG00000004939/ENSG00000244734/ENSG00000274286/ENSG00000137801/ENSG00000213931/ENSG00000124491/ENSG00000162552/ENSG00000142871/ENSG00000115956/ENSG00000113721/ENSG00000158856/ENSG00000132703/ENSG00000196581/ENSG00000069018/ENSG00000100292/ENSG00000158856/ENSG00000128271/ENSG00000169313/ENSG00000160323/ENSG00000244734/ENSG00000134954/ENSG00000124762/ENSG00000043462/ENSG00000143278/ENSG00000110080/ENSG00000164690/ENSG00000141968/ENSG00000196415/ENSG00000137509/ENSG00000183087/ENSG00000149781/ENSG00000166501/ENSG00000165025/ENSG00000154764/ENSG00000154127/ENSG00000189114/ENSG00000142615/ENSG00000139567/ENSG00000138639/ENSG00000150594/ENSG00000166311/ENSG00000103175/ENSG00000150594/ENSG00000185532/ENSG00000076706/ENSG00000121966/ENSG00000109758/ENSG00000096968/ENSG00000153208/ENSG00000164111/ENSG00000186115/ENSG00000167601/ENSG00000198517/ENSG00000108405/ENSG00000164220/ENSG00000185022/ENSG00000159176/ENSG00000110756/ENSG00000166501/ENSG00000070193/ENSG00000111186/ENSG00000174059/ENSG00000196415/ENSG00000160999/ENSG00000057593","FALSE","FALSE","FALSE"
"GO:0002685","GO:0002685","GO:0002685","regulation of leukocyte migration",118,0.520018112313299,2.11629134586277,2.48193506866952e-07,2.10564168729059e-05,1.62695268253531e-05,1304,"tags=25%, list=10%, signal=22%","ENSG00000137801/ENSG00000007908/ENSG00000112175/ENSG00000133789/ENSG00000150455/ENSG00000174600/ENSG00000115232/ENSG00000134830/ENSG00000100292/ENSG00000119630/ENSG00000122592/ENSG00000169313/ENSG00000130300/ENSG00000100600/ENSG00000182578/ENSG00000127129/ENSG00000110080/ENSG00000183087/ENSG00000145147/ENSG00000089060/ENSG00000177105/ENSG00000107562/ENSG00000166923/ENSG00000171522/ENSG00000166923/ENSG00000128340/ENSG00000167207/ENSG00000186810/ENSG00000151651/ENSG00000154721/ENSG00000189058/ENSG00000204472/ENSG00000110651/ENSG00000129422/ENSG00000057593/ENSG00000182578/ENSG00000110651/ENSG00000170962/ENSG00000157227","TRUE","FALSE","FALSE"
