tg_ecotypeid,name,CS_number,country,latitude,longitude,collector,seq_by,
,Agl-2,,,,,,,
,Arb-0,,,,,,,
,Azr-5,,,,,,,
,Bab-0,,,,,,,
,Bba-2,,,,,,,
,Bbe-0,,,,,,,
,Elh-15,,,,,,,
,Elk-20,,,,,,,
,Ifr-6,,,,,,,
,Ket-10,,,,,,,
,Khe-0,,,,,,,
,Meh-4,,,,,,,
,Oua-0,,,,,,,
,Set-0,,,,,,,
,Tah-4,,,,,,,
,Taz-18,,,,,,,
,Til-2,,,,,,,
,Tiz-7,,,,,,,
,Zin-4,,,,,,,
,Ait-9,,,,,,,
6981,Ws-2,CS78920,RUS,52.3,30,Kenneth Feldmann,MPI,
